Protocol name;Instrument;Parameter;Level;Date;Value;Target;SD;Status;Message;User comment;User;Sample ID
AU 3 Multichem;AU3;URATE;3;01/23/2017 08:34:31;467.0;463;15;Accepted;;;;T3
AU 3 Multichem;AU3;ALB;3;01/23/2017 08:34:26;57.10;54.9;1.7;Accepted;;;;T3
AU 3 Multichem;AU3;ALP;3;01/23/2017 08:34:26;475.0;475;15;Accepted;;;;T3
AU 3 Multichem;AU3;ALT;3;01/23/2017 08:34:26;242.3;229;10;Accepted;;;;T3
AU 3 Multichem;AU3;AMY;3;01/23/2017 08:34:26;324.0;312;10;Accepted;3-1S (across runs) fails because results 324.0, 326.0 and 324.0 are on the same side of the target and exceed 1 SD (Target=312.0, SD=10.0);;;T3
AU 3 Multichem;AU3;AST;3;01/23/2017 08:34:26;270.8;269;5;Accepted;;;;T3
AU 3 Multichem;AU3;C3;3;01/23/2017 08:34:26;2.120;2.1;0.06;Accepted;;;;T3
AU 3 Multichem;AU3;CK;3;01/23/2017 08:34:26;461.0;442;10;Accepted;;;;T3
AU 3 Multichem;AU3;CL;3;01/23/2017 08:34:26;104.0;106.5;2;Accepted;;;;T3
AU 3 Multichem;AU3;CRP;3;01/23/2017 08:34:26;28.70;29.5;0.74;Accepted;;;;T3
AU 3 Multichem;AU3;GGT;3;01/23/2017 08:34:26;149.7;147;5;Accepted;;;;T3
AU 3 Multichem;AU3;HDL;3;01/23/2017 08:34:26;1.680;1.61;0.05;Accepted;3-1S (across runs) fails because results 1.680, 1.680 and 1.680 are on the same side of the target and exceed 1 SD (Target=1.610, SD=0.050);;;T3
AU 3 Multichem;AU3;IGG;3;01/23/2017 08:34:26;13.23;13.4;0.5;Accepted;;;;T3
AU 3 Multichem;AU3;K;3;01/23/2017 08:34:26;6.610;6.67;0.12;Accepted;;;;T3
AU 3 Multichem;AU3;LACT;3;01/23/2017 08:34:26;4.310;4.2;0.2;Accepted;;;;T3
AU 3 Multichem;AU3;MG;3;01/23/2017 08:34:26;1.920;1.82;0.1;Accepted;;;;T3
AU 3 Multichem;AU3;NA;3;01/23/2017 08:34:26;154.0;156;1.75;Accepted;;;;T3
AU 3 Multichem;AU3;PARA;3;01/23/2017 08:34:26;208.0;207;4;Accepted;;;;T3
AU 3 Multichem;AU3;PO4;3;01/23/2017 08:34:26;2.430;2.38;0.06;Accepted;;;;T3
AU 3 Multichem;AU3;SALIC;3;01/23/2017 08:34:26;384.5;365;10;Accepted;;;;T3
AU 3 Multichem;AU3;UREA;3;01/23/2017 08:34:26;23.78;22;0.8;Accepted;1-2S fails because the result 23.78 is out of 2 SD (Target=22.00, SD=0.80);;;T3
AU 3 Multichem;AU3;CA;3;01/23/2017 05:30:42;3.240;3.14;0.1;Accepted;;;;T3
AU 3 Multichem;AU3;GLU;3;01/23/2017 05:30:42;16.74;16.4;0.4;Accepted;;;;T3
AU 3 Multichem;AU3;TBIL;3;01/23/2017 05:30:42;92.00;93.2;2.5;Accepted;;;;T3
AU 3 Multichem;AU3;TRIG;3;01/23/2017 05:30:42;2.940;2.9;0.09;Accepted;;;;T3
AU 3 Multichem;AU3;ALC;3;01/23/2017 05:30:37;1869.0;1925;100;Accepted;;;;T3
AU 3 Multichem;AU3;BICARB;3;01/23/2017 05:30:37;33.00;34.4;2.2;Accepted;;;;T3
AU 3 Multichem;AU3;C4;3;01/23/2017 05:30:37;0.360;0.38;0.02;Accepted;;;;T3
AU 3 Multichem;AU3;CA;3;01/23/2017 05:30:37;3.230;3.14;0.1;Accepted;;;;T3
AU 3 Multichem;AU3;CHOL;3;01/23/2017 05:30:37;6.860;6.84;0.2;Accepted;;;;T3
AU 3 Multichem;AU3;CREAT;3;01/23/2017 05:30:37;476;469;15;Accepted;;;;T3
AU 3 Multichem;AU3;DBIL;3;01/23/2017 05:30:37;28.60;29;2;Accepted;;;;T3
AU 3 Multichem;AU3;GLU;3;01/23/2017 05:30:37;16.68;16.4;0.4;Accepted;;;;T3
AU 3 Multichem;AU3;IGA;3;01/23/2017 05:30:37;2.830;2.9;0.1;Accepted;;;;T3
AU 3 Multichem;AU3;IGM;3;01/23/2017 05:30:37;1.200;1.21;0.03;Accepted;;;;T3
AU 3 Multichem;AU3;TBIL;3;01/23/2017 05:30:37;92.00;93.2;2.5;Accepted;;;;T3
AU 3 Multichem;AU3;TP;3;01/23/2017 05:30:37;87.65;86;2;Accepted;;;;T3
AU 3 Multichem;AU3;TRIG;3;01/23/2017 05:30:37;3.030;2.9;0.09;Accepted;;;;T3
AU 3 Multichem;AU3;URATE;3;01/23/2017 05:30:37;465.0;463;15;Accepted;;;;T3
AU 3 Multichem;AU3;CL;3;01/23/2017 05:30:32;109.0;106.5;2;Accepted;;;;T3
AU 3 Multichem;AU3;K;3;01/23/2017 05:30:32;6.640;6.67;0.12;Accepted;;;;T3
AU 3 Multichem;AU3;NA;3;01/23/2017 05:30:32;156.0;156;1.75;Accepted;;;;T3
AU 3 Multichem;AU3;ALT;3;01/23/2017 05:30:27;237.2;229;10;Accepted;;;;T3
AU 3 Multichem;AU3;CRP;3;01/23/2017 05:30:27;29.60;29.5;0.74;Accepted;;;;T3
AU 3 Multichem;AU3;UREA;3;01/23/2017 05:30:27;21.91;22;0.8;Accepted;;;;T3
AU 3 Multichem;AU3;ALB;3;01/23/2017 05:30:22;56.90;54.9;1.7;Accepted;;;;T3
AU 3 Multichem;AU3;ALP;3;01/23/2017 05:30:22;455.0;475;15;Accepted;;;;T3
AU 3 Multichem;AU3;ALT;3;01/23/2017 05:30:22;238.2;229;10;Accepted;;;;T3
AU 3 Multichem;AU3;AMY;3;01/23/2017 05:30:22;326.0;312;10;Accepted;;;;T3
AU 3 Multichem;AU3;AST;3;01/23/2017 05:30:22;262.6;269;5;Accepted;;;;T3
AU 3 Multichem;AU3;C3;3;01/23/2017 05:30:22;2.040;2.1;0.06;Accepted;;;;T3
AU 3 Multichem;AU3;CK;3;01/23/2017 05:30:22;452.0;442;10;Accepted;;;;T3
AU 3 Multichem;AU3;CRP;3;01/23/2017 05:30:22;29.70;29.5;0.74;Accepted;;;;T3
AU 3 Multichem;AU3;GGT;3;01/23/2017 05:30:22;148.9;147;5;Accepted;;;;T3
AU 3 Multichem;AU3;HDL;3;01/23/2017 05:30:22;1.680;1.61;0.05;Accepted;;;;T3
AU 3 Multichem;AU3;IGG;3;01/23/2017 05:30:22;12.69;13.4;0.5;Accepted;;;;T3
AU 3 Multichem;AU3;LACT;3;01/23/2017 05:30:22;4.350;4.2;0.2;Accepted;;;;T3
AU 3 Multichem;AU3;MG;3;01/23/2017 05:30:22;1.910;1.82;0.1;Accepted;;;;T3
AU 3 Multichem;AU3;PARA;3;01/23/2017 05:30:22;208.0;207;4;Accepted;;;;T3
AU 3 Multichem;AU3;PO4;3;01/23/2017 05:30:22;2.390;2.38;0.06;Accepted;;;;T3
AU 3 Multichem;AU3;SALIC;3;01/23/2017 05:30:22;387.1;365;10;Accepted;1-2S fails because the result 387.1 is out of 2 SD (Target=365.0, SD=10.0);;;T3
AU 3 Multichem;AU3;UREA;3;01/23/2017 05:30:22;21.92;22;0.8;Accepted;;;;T3
AU 3 Multichem;AU3;CA;2;01/23/2017 05:30:17;2.430;2.4;0.08;Accepted;;;;T2
AU 3 Multichem;AU3;CL;3;01/23/2017 05:30:17;107.0;106.5;2;Accepted;;;;T3
AU 3 Multichem;AU3;GLU;2;01/23/2017 05:30:17;7.160;6.8;0.2;Accepted;;;;T2
AU 3 Multichem;AU3;K;3;01/23/2017 05:30:17;6.720;6.67;0.12;Accepted;;;;T3
AU 3 Multichem;AU3;NA;3;01/23/2017 05:30:17;157.0;156;1.75;Accepted;;;;T3
AU 3 Multichem;AU3;TBIL;2;01/23/2017 05:30:17;50.00;50;1;Accepted;;;;T2
AU 3 Multichem;AU3;TRIG;2;01/23/2017 05:30:17;1.690;1.7;0.08;Accepted;;;;T2
AU 3 Multichem;AU3;ALC;2;01/23/2017 05:30:12;679.0;703;30;Accepted;;;;T2
AU 3 Multichem;AU3;BICARB;2;01/23/2017 05:30:12;22.00;23.5;2;Accepted;;;;T2
AU 3 Multichem;AU3;C4;2;01/23/2017 05:30:12;0.280;0.27;0.01;Accepted;;;;T2
AU 3 Multichem;AU3;CA;2;01/23/2017 05:30:12;2.390;2.4;0.08;Accepted;;;;T2
AU 3 Multichem;AU3;CHOL;2;01/23/2017 05:30:12;3.810;3.94;0.15;Accepted;;;;T2
AU 3 Multichem;AU3;CREAT;2;01/23/2017 05:30:12;164.0;164.5;5;Accepted;;;;T2
AU 3 Multichem;AU3;DBIL;2;01/23/2017 05:30:12;15.60;15.9;1;Accepted;;;;T2
AU 3 Multichem;AU3;GLU;2;01/23/2017 05:30:12;6.770;6.8;0.2;Accepted;;;;T2
AU 3 Multichem;AU3;IGA;2;01/23/2017 05:30:12;2.180;2.28;0.1;Accepted;;;;T2
AU 3 Multichem;AU3;IGM;2;01/23/2017 05:30:12;0.940;0.92;0.02;Accepted;;;;T2
AU 3 Multichem;AU3;TBIL;2;01/23/2017 05:30:12;50.00;50;1;Accepted;;;;T2
AU 3 Multichem;AU3;TP;2;01/23/2017 05:30:12;66.9;65;1.5;Accepted;;;;T2
AU 3 Multichem;AU3;TRIG;2;01/23/2017 05:30:12;1.720;1.7;0.08;Accepted;;;;T2
AU 3 Multichem;AU3;URATE;2;01/23/2017 05:30:12;352.0;347;8;Accepted;;;;T2
AU 3 Multichem;AU3;CL;2;01/23/2017 05:30:07;93.00;91.8;1.7;Accepted;;;;T2
AU 3 Multichem;AU3;K;2;01/23/2017 05:30:07;3.77;3.8;0.08;Accepted;;;;T2
AU 3 Multichem;AU3;NA;2;01/23/2017 05:30:07;141.0;141;1.75;Accepted;;;;T2
AU 3 Multichem;AU3;ALT;2;01/23/2017 05:30:02;111;110;5;Accepted;;;;T2
AU 3 Multichem;AU3;CRP;2;01/23/2017 05:30:02;10.10;10.1;0.25;Accepted;;;;T2
AU 3 Multichem;AU3;UREA;2;01/23/2017 05:30:02;13.87;13.8;0.45;Accepted;;;;T2
AU 3 Multichem;AU3;ALB;2;01/23/2017 05:29:57;44.2;43.5;1.5;Accepted;;;;T2
AU 3 Multichem;AU3;ALP;2;01/23/2017 05:29:57;216.0;220;10;Accepted;;;;T2
AU 3 Multichem;AU3;ALT;2;01/23/2017 05:29:57;112;110;5;Accepted;;;;T2
AU 3 Multichem;AU3;AMY;2;01/23/2017 05:29:57;119.0;117;3.5;Accepted;;;;T2
AU 3 Multichem;AU3;AST;2;01/23/2017 05:29:57;130.1;133;2.5;Accepted;;;;T2
AU 3 Multichem;AU3;C3;2;01/23/2017 05:29:57;1.320;1.35;0.05;Accepted;;;;T2
AU 3 Multichem;AU3;CK;2;01/23/2017 05:29:57;249.0;244;6;Accepted;;;;T2
AU 3 Multichem;AU3;CRP;2;01/23/2017 05:29:57;10.10;10.1;0.25;Accepted;;;;T2
AU 3 Multichem;AU3;GGT;2;01/23/2017 05:29:57;77.90;77;3;Accepted;;;;T2
AU 3 Multichem;AU3;HDL;2;01/23/2017 05:29:57;1.110;1.1;0.04;Accepted;;;;T2
AU 3 Multichem;AU3;IGG;2;01/23/2017 05:29:57;10.35;10.5;0.5;Accepted;;;;T2
AU 3 Multichem;AU3;LACT;2;01/23/2017 05:29:57;1.890;1.85;0.1;Accepted;;;;T2
AU 3 Multichem;AU3;MG;2;01/23/2017 05:29:57;1.260;1.22;0.05;Accepted;;;;T2
AU 3 Multichem;AU3;PARA;2;01/23/2017 05:29:57;77.00;76.5;1.5;Accepted;;;;T2
AU 3 Multichem;AU3;PO4;2;01/23/2017 05:29:57;1.33;1.3;0.04;Accepted;;;;T2
AU 3 Multichem;AU3;SALIC;2;01/23/2017 05:29:57;141.0;136;5;Accepted;;;;T2
AU 3 Multichem;AU3;UREA;2;01/23/2017 05:29:57;13.85;13.8;0.45;Accepted;;;;T2
AU 3 Multichem;AU3;CL;2;01/23/2017 05:29:52;91.00;91.8;1.7;Accepted;;;;T2
AU 3 Multichem;AU3;K;2;01/23/2017 05:29:52;3.76;3.8;0.08;Accepted;;;;T2
AU 3 Multichem;AU3;NA;2;01/23/2017 05:29:52;141.0;141;1.75;Accepted;;;;T2
AU 3 Multichem;AU3;CA;1;01/23/2017 05:29:51;1.57;1.53;0.07;Accepted;Tube accepted;;;T1
AU 3 Multichem;AU3;GLU;1;01/23/2017 05:29:51;2.74;3.1;0.1;Manually accepted;2-2S fails (across runs) because the results 2.74 and 2.76 are on the same side of the target and out of 2 SD (Target=3.10, SD=0.10);;SYSADM;T1
AU 3 Multichem;AU3;TBIL;1;01/23/2017 05:29:51;16.00;16.7;0.8;Accepted;Tube accepted;;;T1
AU 3 Multichem;AU3;TRIG;1;01/23/2017 05:29:51;0.590;0.7;0.06;Accepted;Tube accepted;;;T1
AU 3 Multichem;AU3;ALC;1;01/23/2017 05:29:46;333.0;383;15;Manually accepted;Tube accepted;;SYSADM;T1
AU 3 Multichem;AU3;BICARB;1;01/23/2017 05:29:46;15.00;16.9;1.5;Accepted;Tube accepted;;;T1
AU 3 Multichem;AU3;C4;1;01/23/2017 05:29:46;0.180;0.18;0.01;Accepted;Tube accepted;;;T1
AU 3 Multichem;AU3;CA;1;01/23/2017 05:29:46;1.55;1.53;0.07;Accepted;Tube accepted;;;T1
AU 3 Multichem;AU3;CHOL;1;01/23/2017 05:29:46;2.460;2.78;0.1;Manually accepted;1-3S fails because the result 2.460 is out of 3 SD (Target=2.780, SD=0.100);;SYSADM;T1
AU 3 Multichem;AU3;CREAT;1;01/23/2017 05:29:46;55.00;55;2.75;Accepted;Tube accepted;;;T1
AU 3 Multichem;AU3;DBIL;1;01/23/2017 05:29:46;5.000;5.9;0.5;Accepted;Tube accepted;;;T1
AU 3 Multichem;AU3;GLU;1;01/23/2017 05:29:46;2.76;3.1;0.1;Manually accepted;Tube accepted;;SYSADM;T1
AU 3 Multichem;AU3;IGA;1;01/23/2017 05:29:46;1.540;1.65;0.08;Accepted;Tube accepted;;;T1
AU 3 Multichem;AU3;IGM;1;01/23/2017 05:29:46;0.5800;0.64;0.02;Accepted;Tube accepted;;;T1
AU 3 Multichem;AU3;TBIL;1;01/23/2017 05:29:46;16.00;16.7;0.8;Accepted;Tube accepted;;;T1
AU 3 Multichem;AU3;TP;1;01/23/2017 05:29:46;44.98;47.5;1;Accepted;Tube accepted;;;T1
AU 3 Multichem;AU3;TRIG;1;01/23/2017 05:29:46;0.620;0.7;0.06;Accepted;Tube accepted;;;T1
AU 3 Multichem;AU3;URATE;1;01/23/2017 05:29:46;138.0;143;4;Accepted;Tube accepted;;;T1
AU 3 Multichem;AU3;CL;1;01/23/2017 05:29:41;82.0;83;1.5;Accepted;;;;T1
AU 3 Multichem;AU3;K;1;01/23/2017 05:29:41;2.600;2.52;0.06;Accepted;4-1S fails (across runs) because results 2.600, 2.590, 2.600, and 2.590 are on the same side of the target and out of 1 SD (Target=2.520, SD=0.060);;;T1
AU 3 Multichem;AU3;NA;1;01/23/2017 05:29:41;119.0;122;1.5;Accepted;4-1S fails (across runs) because results 119.0, 118.0, 119.0, and 118.0 are on the same side of the target and out of 1 SD (Target=122.0, SD=1.5);;;T1
AU 3 Multichem;AU3;ALT;1;01/23/2017 05:29:36;24.40;25;1.6;Accepted;;;;T1
AU 3 Multichem;AU3;CRP;1;01/23/2017 05:29:36;3.400;3.77;0.24;Accepted;3-1S (across runs) fails because results 3.400, 3.400 and 3.500 are on the same side of the target and exceed 1 SD (Target=3.770, SD=0.240);;;T1
AU 3 Multichem;AU3;UREA;1;01/23/2017 05:29:36;3.04;3.15;0.14;Accepted;;;;T1
AU 3 Multichem;AU3;ALB;1;01/23/2017 05:29:31;28.90;30.9;1;Accepted;Tube accepted;;;T1
AU 3 Multichem;AU3;ALP;1;01/23/2017 05:29:31;63.00;80;3;Manually accepted;1-3S fails because the result 63.00 is out of 3 SD (Target=80.00, SD=3.00);;SYSADM;T1
AU 3 Multichem;AU3;ALT;1;01/23/2017 05:29:31;24.10;25;1.6;Accepted;Tube accepted;;;T1
AU 3 Multichem;AU3;AMY;1;01/23/2017 05:29:31;41.00;42;1.5;Accepted;Tube accepted;;;T1
AU 3 Multichem;AU3;AST;1;01/23/2017 05:29:31;41.21;43;1.5;Accepted;Tube accepted;;;T1
AU 3 Multichem;AU3;C3;1;01/23/2017 05:29:31;0.880;0.95;0.05;Accepted;Tube accepted;;;T1
AU 3 Multichem;AU3;CK;1;01/23/2017 05:29:31;61.00;68.7;3;Manually accepted;Tube accepted;;SYSADM;T1
AU 3 Multichem;AU3;CRP;1;01/23/2017 05:29:31;3.400;3.77;0.24;Accepted;Tube accepted;;;T1
AU 3 Multichem;AU3;GGT;1;01/23/2017 05:29:31;23.6;26;1;Accepted;Tube accepted;;;T1
AU 3 Multichem;AU3;HDL;1;01/23/2017 05:29:31;0.73;0.8;0.03;Accepted;Tube accepted;;;T1
AU 3 Multichem;AU3;IGG;1;01/23/2017 05:29:31;6.610;7.4;0.25;Manually accepted;Tube accepted;;SYSADM;T1
AU 3 Multichem;AU3;LACT;1;01/23/2017 05:29:31;0.800;0.51;0.05;Manually accepted;Tube accepted;;SYSADM;T1
AU 3 Multichem;AU3;MG;1;01/23/2017 05:29:31;0.600;0.53;0.02;Manually accepted;1-3S fails because the result 0.600 is out of 3 SD (Target=0.530, SD=0.020);;SYSADM;T1
AU 3 Multichem;AU3;PARA;1;01/23/2017 05:29:31;17.0;17.6;0.8;Accepted;Tube accepted;;;T1
AU 3 Multichem;AU3;PO4;1;01/23/2017 05:29:31;0.770;0.74;0.03;Accepted;Tube accepted;;;T1
AU 3 Multichem;AU3;SALIC;1;01/23/2017 05:29:31;83.8;79;5;Accepted;Tube accepted;;;T1
AU 3 Multichem;AU3;UREA;1;01/23/2017 05:29:31;3.04;3.15;0.14;Accepted;Tube accepted;;;T1
AU 3 Multichem;AU3;CL;1;01/23/2017 05:29:26;80.0;83;1.5;Accepted;;;;T1
AU 3 Multichem;AU3;K;1;01/23/2017 05:29:26;2.590;2.52;0.06;Accepted;4-1S fails (across runs) because results 2.590, 2.600, 2.590, and 2.590 are on the same side of the target and out of 1 SD (Target=2.520, SD=0.060);;;T1
AU 3 Multichem;AU3;NA;1;01/23/2017 05:29:26;118.0;122;1.5;Accepted;4-1S fails (across runs) because results 118.0, 119.0, 118.0, and 118.0 are on the same side of the target and out of 1 SD (Target=122.0, SD=1.5);;;T1
AU 3 Multichem;AU3;CL;3;01/23/2017 04:36:47;108.0;106.5;2;Accepted;;;;T3
AU 3 Multichem;AU3;K;3;01/23/2017 04:36:47;6.610;6.67;0.12;Accepted;;;;T3
AU 3 Multichem;AU3;NA;3;01/23/2017 04:36:47;156.0;156;1.75;Accepted;;;;T3
AU 3 Multichem;AU3;CL;2;01/23/2017 04:36:42;93.00;91.8;1.7;Accepted;;;;T2
AU 3 Multichem;AU3;CL;3;01/23/2017 04:36:42;106.0;106.5;2;Accepted;;;;T3
AU 3 Multichem;AU3;K;2;01/23/2017 04:36:42;3.78;3.8;0.08;Accepted;;;;T2
AU 3 Multichem;AU3;K;3;01/23/2017 04:36:42;6.660;6.67;0.12;Accepted;;;;T3
AU 3 Multichem;AU3;NA;2;01/23/2017 04:36:42;141.0;141;1.75;Accepted;;;;T2
AU 3 Multichem;AU3;NA;3;01/23/2017 04:36:42;157.0;156;1.75;Accepted;;;;T3
AU 3 Multichem;AU3;CL;1;01/23/2017 04:36:37;82.0;83;1.5;Accepted;;;;T1
AU 3 Multichem;AU3;CL;2;01/23/2017 04:36:37;91.00;91.8;1.7;Accepted;;;;T2
AU 3 Multichem;AU3;K;1;01/23/2017 04:36:37;2.600;2.52;0.06;Accepted;4-1S fails (across runs) because results 2.600, 2.590, 2.590, and 2.650 are on the same side of the target and out of 1 SD (Target=2.520, SD=0.060);;;T1
AU 3 Multichem;AU3;K;2;01/23/2017 04:36:37;3.74;3.8;0.08;Accepted;;;;T2
AU 3 Multichem;AU3;NA;1;01/23/2017 04:36:37;119.0;122;1.5;Accepted;4-1S fails (across runs) because results 119.0, 118.0, 118.0, and 120.0 are on the same side of the target and out of 1 SD (Target=122.0, SD=1.5);;;T1
AU 3 Multichem;AU3;NA;2;01/23/2017 04:36:37;140.0;141;1.75;Accepted;;;;T2
AU 3 Multichem;AU3;CL;1;01/23/2017 04:36:32;81.0;83;1.5;Accepted;;;;T1
AU 3 Multichem;AU3;K;1;01/23/2017 04:36:32;2.590;2.52;0.06;Accepted;3-1S (across runs) fails because results 2.590, 2.590 and 2.650 are on the same side of the target and exceed 1 SD (Target=2.520, SD=0.060);;;T1
AU 3 Multichem;AU3;NA;1;01/23/2017 04:36:32;118.0;122;1.5;Manually accepted;2-2S fails (across runs) because the results 118.0 and 118.0 are on the same side of the target and out of 2 SD (Target=122.0, SD=1.5);;SYSADM;T1
AU 3 Multichem;AU3;CK;3;01/22/2017 21:21:09;459.0;442;10;Accepted;;;;T3
AU 3 Multichem;AU3;SALIC;3;01/22/2017 21:21:09;390.2;365;10;Manually rejected;2-2S fails (across runs) because the results 390.2 and 391.9 are on the same side of the target and out of 2 SD (Target=365.0, SD=10.0);;SYSADM;T3
AU 3 Multichem;AU3;CK;2;01/22/2017 21:21:04;254.0;244;6;Accepted;R-4S fails because the results 61.0 and 463.0 are in the opposite side of the target and the distance between the results is > 4 SD (Target=244.0, SD=6.0);;;T2
AU 3 Multichem;AU3;SALIC;2;01/22/2017 21:21:04;149.2;136;5;Manually rejected;(2 of 3)2S fails because the results 149.2 and 391.9 exceeds 2 SD in the same side of the target (Target=136.0, SD=5.0);;SYSADM;T2
AU 3 Multichem;AU3;CK;1;01/22/2017 21:20:59;61.00;68.7;3;Accepted;R-4S fails because the results 61.00 and 463.00 are in the opposite side of the target and the distance between the results is > 4 SD (Target=68.70, SD=3.00);;;T1
AU 3 Multichem;AU3;SALIC;1;01/22/2017 21:20:59;90.9;79;5;Manually rejected;(2 of 3)2S fails because the results 90.9 and 391.9 exceeds 2 SD in the same side of the target (Target=79.0, SD=5.0);;SYSADM;T1
AU 3 Multichem;AU3;ALC;3;01/22/2017 21:06:04;1954.0;1925;100;Accepted;;;;T3
AU 3 Multichem;AU3;BICARB;3;01/22/2017 21:06:04;38.00;34.4;2.2;Accepted;;;;T3
AU 3 Multichem;AU3;C4;3;01/22/2017 21:06:04;0.370;0.38;0.02;Accepted;;;;T3
AU 3 Multichem;AU3;CA;3;01/22/2017 21:06:04;3.150;3.14;0.1;Accepted;;;;T3
AU 3 Multichem;AU3;CHOL;3;01/22/2017 21:06:04;6.780;6.84;0.2;Accepted;;;;T3
AU 3 Multichem;AU3;CL;3;01/22/2017 21:06:04;109.0;106.5;2;Accepted;;;;T3
AU 3 Multichem;AU3;CREAT;3;01/22/2017 21:06:04;473;469;15;Accepted;;;;T3
AU 3 Multichem;AU3;DBIL;3;01/22/2017 21:06:04;28.00;29;2;Accepted;;;;T3
AU 3 Multichem;AU3;GLU;3;01/22/2017 21:06:04;16.22;16.4;0.4;Accepted;;;;T3
AU 3 Multichem;AU3;IGA;3;01/22/2017 21:06:04;2.830;2.9;0.1;Accepted;;;;T3
AU 3 Multichem;AU3;IGM;3;01/22/2017 21:06:04;1.210;1.21;0.03;Accepted;;;;T3
AU 3 Multichem;AU3;K;3;01/22/2017 21:06:04;6.650;6.67;0.12;Accepted;;;;T3
AU 3 Multichem;AU3;NA;3;01/22/2017 21:06:04;156.0;156;1.75;Accepted;;;;T3
AU 3 Multichem;AU3;TBIL;3;01/22/2017 21:06:04;92.00;93.2;2.5;Accepted;;;;T3
AU 3 Multichem;AU3;TP;3;01/22/2017 21:06:04;86.07;86;2;Accepted;;;;T3
AU 3 Multichem;AU3;TRIG;3;01/22/2017 21:06:04;2.900;2.9;0.09;Accepted;;;;T3
AU 3 Multichem;AU3;URATE;3;01/22/2017 21:06:04;459.0;463;15;Accepted;;;;T3
AU 3 Multichem;AU3;ALB;3;01/22/2017 21:05:59;55.00;54.9;1.7;Accepted;;;;T3
AU 3 Multichem;AU3;ALP;3;01/22/2017 21:05:59;471.0;475;15;Accepted;;;;T3
AU 3 Multichem;AU3;ALT;3;01/22/2017 21:05:59;245.8;229;10;Accepted;;;;T3
AU 3 Multichem;AU3;AMY;3;01/22/2017 21:05:59;324.0;312;10;Accepted;;;;T3
AU 3 Multichem;AU3;AST;3;01/22/2017 21:05:59;269.8;269;5;Accepted;;;;T3
AU 3 Multichem;AU3;C3;3;01/22/2017 21:05:59;2.110;2.1;0.06;Accepted;;;;T3
AU 3 Multichem;AU3;CK;3;01/22/2017 21:05:59;463.0;442;10;Accepted;1-2S fails because the result 463.0 is out of 2 SD (Target=442.0, SD=10.0);;;T3
AU 3 Multichem;AU3;CL;3;01/22/2017 21:05:59;105.0;106.5;2;Accepted;;;;T3
AU 3 Multichem;AU3;CRP;3;01/22/2017 21:05:59;29.10;29.5;0.74;Accepted;;;;T3
AU 3 Multichem;AU3;GGT;3;01/22/2017 21:05:59;150.8;147;5;Accepted;;;;T3
AU 3 Multichem;AU3;HDL;3;01/22/2017 21:05:59;1.680;1.61;0.05;Accepted;;;;T3
AU 3 Multichem;AU3;IGG;3;01/22/2017 21:05:59;13.63;13.4;0.5;Accepted;;;;T3
AU 3 Multichem;AU3;K;3;01/22/2017 21:05:59;6.530;6.67;0.12;Accepted;;;;T3
AU 3 Multichem;AU3;LACT;3;01/22/2017 21:05:59;4.270;4.2;0.2;Accepted;;;;T3
AU 3 Multichem;AU3;MG;3;01/22/2017 21:05:59;1.900;1.82;0.1;Accepted;;;;T3
AU 3 Multichem;AU3;NA;3;01/22/2017 21:05:59;154.0;156;1.75;Accepted;;;;T3
AU 3 Multichem;AU3;PARA;3;01/22/2017 21:05:59;207.0;207;4;Accepted;;;;T3
AU 3 Multichem;AU3;PO4;3;01/22/2017 21:05:59;2.400;2.38;0.06;Accepted;;;;T3
AU 3 Multichem;AU3;SALIC;3;01/22/2017 21:05:59;391.9;365;10;Accepted;1-2S fails because the result 391.9 is out of 2 SD (Target=365.0, SD=10.0);;;T3
AU 3 Multichem;AU3;UREA;3;01/22/2017 21:05:59;22.92;22;0.8;Accepted;;;;T3
AU 3 Multichem;AU3;C4;3;01/22/2017 17:30:34;0.370;0.38;0.02;Accepted;;;;T3
AU 3 Multichem;AU3;GLU;3;01/22/2017 17:30:34;16.31;16.4;0.4;Accepted;;;;T3
AU 3 Multichem;AU3;TBIL;3;01/22/2017 17:30:34;93.00;93.2;2.5;Accepted;;;;T3
AU 3 Multichem;AU3;TRIG;3;01/22/2017 17:30:34;2.900;2.9;0.09;Accepted;;;;T3
AU 3 Multichem;AU3;ALC;3;01/22/2017 17:30:29;1852.0;1925;100;Accepted;;;;T3
AU 3 Multichem;AU3;BICARB;3;01/22/2017 17:30:29;35.00;34.4;2.2;Accepted;;;;T3
AU 3 Multichem;AU3;C4;3;01/22/2017 17:30:29;0.370;0.38;0.02;Accepted;;;;T3
AU 3 Multichem;AU3;CA;3;01/22/2017 17:30:29;3.190;3.14;0.1;Accepted;;;;T3
AU 3 Multichem;AU3;CHOL;3;01/22/2017 17:30:29;6.760;6.84;0.2;Accepted;;;;T3
AU 3 Multichem;AU3;CREAT;3;01/22/2017 17:30:29;465;469;15;Accepted;;;;T3
AU 3 Multichem;AU3;DBIL;3;01/22/2017 17:30:29;29.10;29;2;Accepted;;;;T3
AU 3 Multichem;AU3;GLU;3;01/22/2017 17:30:29;16.61;16.4;0.4;Accepted;;;;T3
AU 3 Multichem;AU3;IGA;3;01/22/2017 17:30:29;2.810;2.9;0.1;Accepted;;;;T3
AU 3 Multichem;AU3;IGM;3;01/22/2017 17:30:29;1.210;1.21;0.03;Accepted;;;;T3
